Source	Target	Weights
SIAVR	vBWMR016	1
DA01	DB01	1
DA02	DA03	1
DA02	DB01	1
DA02	dBWML07	1
DA04	dBWML013	1
DA05	DA04	1
DA05	DB04	1
DA05	VD05	1
DA05	dBWML012	1
DA06	DA05	1
DA06	DB05	1
DA06	dBWML011	1
DA06	dBWML012	1
DA06	dBWMR010	1
DA06	dBWMR011	1
DA06	dBWMR012	1
DA07	DA06	1
DA07	DB06	1
DA08	DA07	1
DA08	DB07	1
DA09	AS11	1
DA09	VA12	1
PDA	PVNR	1
PDA	dBWML022	1
DB01	FLPR	1
DB01	hyp	1
DB02	DA04	1
DB02	dBWML012	1
DB02	dBWMR09	1
DB03	DA05	1
DB03	AS05	1
DB03	dBWML012	1
DB03	dBWML014	1
DB03	dBWMR013	1
DB04	dBWML014	1
DB05	DA08	1
DB06	DA09	1
DB06	AS09	1
DB07	DD06	1
DB07	dBWMR022	1
AS02	DB01	1
AS03	DA03	1
AS03	dBWML09	1
AS05	PVDL	1
AS05	DA04	1
AS05	DD03	1
AS06	DB04	1
AS11	DB07	1
DD01	dBWML06	1
DD02	VD03	1
DD02	dBWMR012	1
DD03	DA05	1
DD03	dBWMR011	1
DD03	vBWML013	1
DD04	dBWMR013	1
DD06	DB07	1
VA01	vBWML08	1
VA02	VB02	1
VA02	vBWML07	1
VA03	VB02	1
VA03	vBWML08	1
VA04	AVDL	1
VA04	AVER	1
VA04	VB04	1
VA04	vBWMR013	1
VA05	VB04	1
VA06	AS02	1
VA06	VB04	1
VA06	vBWML015	1
VA06	vBWMR013	1
VA06	vBWMR015	1
VA07	AS01	1
VA07	VB06	1
VA08	AS02	1
VA08	VB06	1
VA08	vBWMR014	1
VA08	vBWMR015	1
VA09	VB07	1
VA10	AS10	1
VA10	VB08	1
VA10	VB09	1
VA11	AS09	1
VA12	PHCR	1
VB01	DD01	1
VB01	vBWMR09	1
VB01	hyp	1
VB02	AVEL	1
VB02	DD02	1
VB02	vBWML011	1
VB02	VC02	1
VB03	VA05	1
VB03	vBWML010	1
VB04	AVG	1
VB04	VA04	1
VB04	VA05	1
VB04	VB05	1
VB04	VD04	1
VB05	vBWML013	1
VB05	vBWMR015	1
VB05	vBWMR016	1
VB06	DVA	1
VB06	PVNR	1
VB06	VD06	1
VB06	vBWML017	1
VB06	vBWMR017	1
VB06	vm1AR	1
VB07	VA09	1
VB07	VA10	1
VB10	PVT	1
VB10	vBWML019	1
VB10	vBWML022	1
VB10	vBWMR021	1
VB11	PVWL	1
VB11	PVWR	1
VD02	AVEL	1
VD02	AS01	1
VD03	VB03	1
VD04	VA04	1
VD05	AVAR	1
VD05	DD03	1
VD05	VA06	1
VD05	VB01	1
VD05	vBWML014	1
VD06	PVNR	1
VD06	AVAL	1
VD06	vBWML013	1
VD06	vBWML016	1
VD06	vBWMR015	1
VD07	DD04	1
VD07	VB07	1
VD07	vBWML014	1
VD07	vBWMR016	1
VD08	PVT	1
VD08	VA09	1
VD11	VB10	1
VD12	VB11	1
VD12	VC06	1
VD13	PVWL	1
VD13	PVCR	1
VD13	vBWML019	1
HSNL	ADLL	1
HSNL	ADLR	1
HSNL	PVQL	1
HSNL	RMGR	1
HSNL	vBWML011	1
HSNL	vBWML016	1
HSNL	vBWMR011	1
HSNL	hyp	1
HSNL	HSNL	1
HSNR	AIZR	1
HSNR	PVQR	1
HSNR	PVPR	1
HSNR	RMGR	1
HSNR	PVT	1
HSNR	AVDR	1
HSNR	RIML	1
HSNR	RIMR	1
HSNR	AVEL	1
HSNR	AVER	1
HSNR	RMDDR	1
HSNR	SABD	1
HSNR	SABVR	1
HSNR	DA06	1
HSNR	DB05	1
HSNR	vBWMR09	1
HSNR	vBWMR015	1
HSNR	HSNL	1
HSNR	VC03	1
HSNR	VC04	1
VC01	AVFL	1
VC01	PVPR	1
VC01	DVC	1
VC01	VD02	1
VC01	VD06	1
VC01	vBWML07	1
VC01	vBWML09	1
VC01	vBWML011	1
VC01	hyp	1
VC02	PVQR	1
VC02	PVPR	1
VC02	PVCL	1
VC02	DB04	1
VC02	vBWML011	1
VC02	vBWML013	1
VC02	vBWMR08	1
VC02	vBWMR011	1
VC02	vBWMR012	1
VC03	PVNR	1
VC03	AVJL	1
VC03	AVL	1
VC03	AVBL	1
VC03	SABVL	1
VC03	VB02	1
VC03	VB04	1
VC03	VD02	1
VC03	vBWML011	1
VC03	vBWML012	1
VC03	vBWML013	1
VC03	vBWML014	1
VC03	vBWMR013	1
VC03	HSNR	1
VC04	AVHR	1
VC04	AVBR	1
VC04	vBWML016	1
VC05	PVR	1
VC05	AVFR	1
VC05	vBWML016	1
VC05	HSNL	1
VC06	vBWMR020	1
I2L	M2L	1
I2R	MCR	1
I3	M2R	1
I4	M4	1
I5	M2R	1
M2L	M4	1
M2L	MCL	1
M2R	pm5D	1
M3L	NSMR	1
M3R	pm5D	1
M3R	pm5VR	1
e2VL	e3VL	1
e2VR	e3VR	1
ASIL	AINR	1
ASJL	IL2L	1
ASJL	AIAL	1
ASJL	SMDDR	1
ASJR	AIMR	1
AWAL	ADLL	1
ASGL	AWBL	1
ASGR	ADFR	1
ASGR	ADLR	1
ASGR	AINL	1
ASGR	AIZR	1
AWBL	RMGL	1
AWBR	RMGR	1
ASER	PVQR	1
ADFL	AWCL	1
ADFL	ASHL	1
ADFL	URBL	1
ADFL	GLRVR	1
ADFL	exc_gl	1
AFDL	AFDR	1
AFDL	AVEL	1
AFDR	RMDVR	1
AWCL	AUAL	1
ASKL	HSNL	1
ASKR	RMGR	1
ADLL	hyp	1
ALNR	RMGR	1
ALNR	SMDDL	1
PLNL	PHAL	1
PLNL	PHBL	1
PLNR	PLMR	1
SDQR	SAADL	1
SDQR	SIAVR	1
PQR	hyp	1
PVM	ADER	1
PVM	VD09	1
FLPL	SIADR	1
FLPR	AS01	1
DVA	PVPL	1
DVA	DVC	1
DVA	SIADR	1
DVA	SIAVR	1
DVA	PDA	1
DVA	AS11	1
DVA	VA11	1
PVDL	DA03	1
PVDL	DA05	1
PVDL	DB01	1
PVDL	VA10	1
PVDR	PDER	1
PVDR	DVC	1
PVDR	AS03	1
PVDR	VD09	1
ADEL	SIBDL	1
ADEL	SIBVL	1
PDEL	AVKR	1
PDEL	VB10	1
PHAL	PHCL	1
PHAL	hyp	1
PHAR	PHCR	1
PHAR	PDA	1
PHAR	hyp	1
PHBL	AVHL	1
PHBL	AVJR	1
PHBR	PVPL	1
PHBR	PVT	1
PHCL	hyp	1
PHCR	AVG	1
PHCR	AVJR	1
PHCR	AVAR	1
IL2VR	CEPVR	1
CEPVL	RIH	1
CEPVR	AIMR	1
URYDR	URADR	1
URYVL	AVAR	1
OLQDL	RMDVL	1
OLQDR	RMDVR	1
OLQVR	RMDDR	1
IL1DL	RMEV	1
IL1L	RIPL	1
AIMR	SMBVR	1
AIYL	AVKL	1
RIS	AIBL	1
ALA	exc_gl	1
ALA	HSNL	1
ALA	HSNR	1
PVQR	DVB	1
PVQR	PVWR	1
PVQR	PDA	1
RIFL	AVDL	1
RIFL	AVER	1
RIFL	VD01	1
RIFL	HSNL	1
RIFR	RMGR	1
BDUR	HSNL	1
PVR	VD13	1
AVFL	PVCL	1
AVFL	VC04	1
AVFL	VC05	1
AVFR	VB01	1
AVFR	VC04	1
AVFR	VC05	1
AVHL	LUAL	1
AVHL	PVNL	1
AVHL	AS10	1
AVHR	SIAVL	1
AVHR	DD06	1
PVPL	PVPL	1
PVPL	AVL	1
PVPL	PDB	1
PVPL	VA12	1
PVPL	HSNL	1
PVPR	PVWL	1
PVPR	AVEL	1
PVPR	VC01	1
LUAL	PVCL	1
LUAR	AVJL	1
PVNR	DVC	1
AVG	AS11	1
AVG	DD06	1
RIBL	SIAVL	1
RIGR	RMFL	1
AIBL	RIVL	1
AIBR	PVT	1
AIBR	SIAVL	1
RICR	RMHR	1
SAADR	RMDDR	1
SAAVL	SAAVR	1
SAAVR	RMFL	1
SAAVR	VB01	1
AVKL	AS10	1
AVKL	AS11	1
AVKL	VB10	1
AVKL	VB11	1
AVKR	PVT	1
DVC	DD06	1
DVC	VD11	1
DVC	VD13	1
DVC	VC05	1
DVC	VC06	1
AVJL	PVT	1
PVT	AVDL	1
PVT	URAVL	1
PVT	hyp	1
PVT	VC02	1
PVT	VC03	1
